watching https://bilulu.de + https://api.bilulu.de for 11min, every 1500ms
2026-08-18T10:41:45.958Z  >>> BUILD CHANGED: null -> "14lw83e03ag1kng"
2026-08-18T10:41:45.958Z  BACKEND FAIL 400  CART ok
2026-08-18T10:41:48.587Z  BACKEND FAIL 400  CART ok
2026-08-18T10:41:50.655Z  BACKEND FAIL 400  CART ok
2026-08-18T10:41:52.787Z  BACKEND FAIL 400  CART ok
2026-08-18T10:41:54.912Z  BACKEND FAIL 400  CART ok
2026-08-18T10:41:57.171Z  BACKEND FAIL 400  CART ok
2026-08-18T10:41:59.218Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:01.215Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:03.219Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:05.255Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:07.323Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:09.378Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:11.447Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:13.512Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:15.510Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:17.593Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:19.613Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:21.580Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:23.592Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:25.608Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:27.590Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:29.656Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:31.619Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:33.802Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:35.813Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:37.813Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:39.819Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:41.784Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:43.715Z  BACKEND FAIL 400  CART ok
