repro https://bilulu.de/konfigurator/hose-kurz?bund=sky&hose=stoff-05&buendchen=powder-pink&rot=90  n=100
    0 ok (607ms)
    1 ok (547ms)
    2 ok (465ms)
    3 ok (437ms)
    4 ok (472ms)
    5 ok (462ms)
    6 ok (488ms)
    7 ok (480ms)
    8 ok (500ms)
    9 ok (487ms)
   10 ok (496ms)
   11 ok (454ms)
   12 ok (475ms)
   13 ok (455ms)
   14 ok (436ms)
   15 ok (425ms)
   16 ok (402ms)
   17 ok (432ms)
   18 ok (485ms)
   19 ok (450ms)
   20 ok (515ms)
   21 ok (541ms)
   22 ok (503ms)
   23 ok (601ms)
   24 ok (462ms)
   25 ok (448ms)
   26 ok (502ms)
   27 ok (474ms)
   28 ok (514ms)
   29 ok (432ms)
   30 ok (438ms)
   31 ok (413ms)
   32 ok (414ms)
   33 ok (459ms)
   34 ok (420ms)
   35 ok (454ms)
   36 ok (462ms)
   37 ok (542ms)
   38 ok (482ms)
   39 ok (454ms)
   40 ok (497ms)
   41 ok (440ms)
   42 ok (435ms)
   43 ok (420ms)
   44 ok (458ms)
   45 ok (481ms)
   46 ok (531ms)
   47 ok (494ms)
   48 ok (452ms)
   49 ok (497ms)
   50 ok (417ms)
   51 ok (466ms)
   52 ok (446ms)
   53 ok (482ms)
   54 ok (420ms)
   55 ok (436ms)
   56 ok (412ms)
   57 ok (469ms)
   58 ok (503ms)
   59 ok (395ms)
   60 ok (473ms)
   61 ok (474ms)
   62 ok (415ms)
   63 ok (503ms)
   64 ok (465ms)
   65 ok (453ms)
   66 ok (453ms)
   67 ok (458ms)
   68 ok (436ms)
   69 ok (494ms)
   70 ok (426ms)
   71 ok (409ms)
   72 ok (429ms)
   73 ok (441ms)
   74 ok (447ms)
   75 ok (401ms)
   76 ok (398ms)
   77 ok (475ms)
   78 ok (494ms)
   79 ok (412ms)
   80 ok (459ms)
   81 ok (413ms)
   82 ok (447ms)
   83 ok (525ms)
   84 ok (513ms)
   85 ok (429ms)
   86 ok (514ms)
   87 ok (516ms)
   88 ok (516ms)
   89 ok (547ms)
   90 ok (443ms)
   91 ok (494ms)
   92 ok (460ms)
   93 ok (460ms)
   94 ok (550ms)
   95 ok (517ms)
   96 ok (403ms)
   97 ok (490ms)
   98 ok (421ms)
   99 ok (428ms)

{
  "base": "https://bilulu.de",
  "path": "/konfigurator/hose-kurz",
  "attempts": 100,
  "failures": 0,
  "failureRate": "0.0%",
  "byError": {
    "ok": 100
  },
  "failDetail": []
}
